Lot Frontage,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,Total Bsmt SF,Central Air,Gr Liv Area,Full Bath,Half Bath,Kitchen Qual,Fireplaces,Garage Finish,Garage Cars,Paved Drive,Wood Deck SF,Open Porch SF,SalePrice,SalePriceLog
47.0,8,2003,2003,603.0,1416.0,1650.0,Y,3279,3,1,Ex,1,Fin,3.0,Y,503,36,538000,13.195615697878253
152.0,8,1988,2005,0.0,427.0,559.0,Y,1752,2,0,TA,0,RFn,2.0,Y,325,12,164000,12.00762780434872
88.0,9,2010,2010,350.0,1445.0,1856.0,Y,1856,1,1,Ex,1,Fin,3.0,Y,113,0,394432,12.885204569609956
140.0,4,1951,1951,0.0,120.0,864.0,Y,864,1,0,TA,0,Unf,2.0,Y,0,0,141000,11.856522261533737
85.0,6,1978,1988,119.0,790.0,1542.0,Y,2073,2,0,TA,2,Unf,2.0,Y,349,0,210000,12.25486757159303
105.0,6,1977,1977,480.0,705.0,1844.0,Y,1844,2,0,TA,1,RFn,2.0,Y,0,122,190000,12.154784614286667
85.0,7,1974,1974,81.0,885.0,1053.0,Y,1173,2,0,Gd,2,RFn,2.0,Y,0,120,170000,12.04355959836804
,7,2000,2000,0.0,533.0,814.0,Y,1674,2,1,Gd,0,RFn,2.0,Y,0,96,216000,12.283038316285214
,6,1970,1970,180.0,578.0,1004.0,Y,1004,1,0,TA,1,Fin,2.0,Y,0,0,149000,11.91170829631447
,5,1971,2008,0.0,734.0,1078.0,Y,1078,1,1,TA,1,Fin,2.0,Y,0,0,149900,11.917730355182513
65.0,5,1968,1968,0.0,775.0,1056.0,Y,1056,1,0,TA,1,Unf,1.0,Y,0,85,142000,11.863589378812122
70.0,4,1970,1970,0.0,804.0,882.0,Y,882,1,0,TA,0,Fin,2.0,Y,240,0,126000,11.744045122410057
70.0,4,1971,1971,0.0,432.0,864.0,Y,864,1,0,TA,1,,0.0,Y,0,0,115000,11.652696102959753
26.0,7,1999,1999,0.0,1051.0,1405.0,Y,1337,2,0,Gd,1,Fin,2.0,Y,203,68,184000,12.122696471358964
21.0,6,1971,1971,504.0,156.0,483.0,Y,987,1,1,TA,0,Unf,1.0,Y,275,0,96000,11.472113887062386
21.0,5,1971,1971,492.0,300.0,525.0,Y,1092,1,1,TA,0,Unf,1.0,Y,0,0,105500,11.566475710526321
21.0,6,1971,1971,381.0,0.0,525.0,Y,1092,1,1,TA,0,Unf,1.0,Y,0,0,88000,11.385103457032141
53.0,6,1977,1977,0.0,360.0,1069.0,Y,1069,2,0,TA,1,RFn,2.0,Y,0,55,127500,11.755879486687116
24.0,6,1975,1975,0.0,514.0,855.0,Y,1456,2,1,Gd,1,Unf,2.0,Y,173,0,149900,11.917730355182513
24.0,7,1975,1975,0.0,0.0,836.0,Y,836,1,0,TA,0,Unf,1.0,Y,0,30,120000,11.695255355062795
24.0,6,1978,1978,0.0,311.0,855.0,Y,1456,2,1,TA,1,Unf,2.0,Y,26,0,146000,11.891368749982085
102.0,9,2009,2010,162.0,0.0,1590.0,Y,2334,2,1,Ex,1,Fin,3.0,Y,144,133,376162,12.837777839071741
98.0,8,2007,2008,200.0,1218.0,1704.0,Y,1704,2,0,Gd,1,RFn,3.0,Y,0,50,306000,12.631343648903034
83.0,9,2009,2010,450.0,1646.0,1930.0,Y,1940,2,1,Ex,1,Fin,3.0,Y,168,95,395192,12.887129532148373
94.0,8,2009,2010,256.0,0.0,1544.0,Y,1544,2,0,Gd,0,RFn,3.0,Y,0,35,290941,12.580879213573434
95.0,7,2005,2005,226.0,1201.0,1541.0,Y,1541,2,0,Gd,1,RFn,2.0,Y,0,70,220000,12.301387370778713
90.0,9,2005,2005,615.0,110.0,1698.0,Y,1698,2,0,Ex,1,Fin,3.0,Y,192,74,275000,12.524530013005734
79.0,8,2005,2006,240.0,28.0,1822.0,Y,1822,2,0,Ex,1,RFn,3.0,Y,0,119,259000,12.464587201678082
70.0,7,2004,2004,168.0,2.0,1517.0,Y,1535,2,0,Gd,0,RFn,2.0,Y,0,0,214000,12.273735966890268
100.0,9,2009,2010,760.0,2188.0,2330.0,Y,2364,2,1,Ex,2,Fin,3.0,Y,0,67,611657,13.323928581764989
44.0,7,2009,2010,128.0,733.0,1358.0,Y,1358,2,0,Gd,1,RFn,2.0,Y,192,35,224000,12.319405795112926
110.0,9,2003,2004,1095.0,1373.0,2846.0,Y,2696,2,1,Ex,2,Fin,3.0,Y,220,150,500000,13.122365377402328
105.0,8,2002,2002,232.0,578.0,1671.0,Y,2250,2,1,Gd,1,Fin,3.0,Y,238,130,320000,12.676079399771027
61.0,9,2005,2005,412.0,456.0,1752.0,Y,1752,2,0,Ex,1,RFn,2.0,Y,196,82,319900,12.675766851909591
41.0,8,2006,2006,178.0,24.0,1370.0,Y,1370,2,0,Gd,1,RFn,2.0,Y,120,49,205000,12.230770136157428
36.0,7,2003,2003,106.0,0.0,764.0,Y,1626,2,1,Gd,0,RFn,2.0,Y,0,27,175500,12.075400019877522
100.0,6,2005,2005,0.0,0.0,1324.0,Y,1324,2,0,Gd,0,Fin,2.0,Y,36,23,199500,12.20357452783082
43.0,7,2006,2006,14.0,16.0,1145.0,Y,1145,2,0,Gd,0,Fin,2.0,Y,100,116,160000,11.982935344196433
43.0,8,2004,2005,16.0,24.0,1256.0,Y,1269,2,0,Gd,1,Fin,2.0,Y,146,20,192000,12.165255859329688
67.0,7,2004,2004,0.0,326.0,384.0,Y,1374,2,1,Gd,1,Fin,2.0,Y,100,0,184500,12.12541016250223
,6,2002,2002,,625.0,860.0,Y,1960,2,1,Gd,2,Fin,2.0,Y,288,48,216500,12.285350445351659
63.0,7,2004,2004,0.0,0.0,847.0,Y,1733,2,1,Gd,1,Fin,2.0,Y,144,48,185088,12.12859206945914
,7,2000,2000,0.0,250.0,384.0,Y,1430,2,1,TA,1,Fin,2.0,Y,180,0,180000,12.100717685412471
,7,2001,2001,180.0,0.0,884.0,Y,2035,2,1,Gd,1,Fin,2.0,Y,144,48,222500,12.312686874960354
108.0,9,1999,1999,165.0,0.0,1393.0,Y,2599,2,1,Gd,1,Fin,3.0,Y,668,30,333168,12.716405147731708
60.0,8,1998,1998,114.0,0.0,1629.0,Y,2475,2,1,Gd,1,Fin,3.0,Y,23,172,355000,12.779875885354993
59.0,7,1996,1996,338.0,919.0,1720.0,Y,1720,2,0,Gd,1,Fin,2.0,Y,240,56,260400,12.469978029554953
98.0,8,1994,1995,362.0,1032.0,1463.0,Y,2622,2,1,Gd,2,RFn,2.0,Y,186,32,325000,12.691583538230217
92.0,8,1999,2007,348.0,524.0,1152.0,Y,2270,2,1,Gd,1,Fin,3.0,Y,132,57,290000,12.577639650232573
58.0,7,1998,1998,30.0,0.0,1195.0,Y,1839,2,1,TA,0,Fin,2.0,Y,0,81,221000,12.30592250537653
56.0,8,1995,1996,579.0,816.0,2033.0,Y,3238,2,1,Gd,1,Fin,3.0,Y,283,86,410000,12.923914877701906
73.0,8,2005,2006,226.0,0.0,1595.0,Y,1595,2,0,Gd,1,RFn,3.0,Y,144,0,221500,12.308182383129823
92.0,7,2009,2010,0.0,0.0,1218.0,Y,1218,2,0,Gd,0,RFn,2.0,Y,0,136,204500,12.228328144428588
72.0,7,2009,2009,0.0,24.0,756.0,Y,1547,2,1,Gd,0,Unf,2.0,Y,169,45,215200,12.279327754099118
75.0,8,2008,2008,36.0,1078.0,1566.0,Y,1566,2,0,Gd,0,RFn,2.0,Y,144,168,262500,12.47801017053037
100.0,7,2004,2005,0.0,222.0,991.0,Y,1947,2,1,Gd,1,RFn,2.0,Y,0,136,254900,12.448630513463613
84.0,6,2005,2005,0.0,1414.0,1468.0,Y,1468,2,0,Gd,1,Fin,2.0,Y,0,102,271500,12.511721101590597
76.0,7,2004,2004,0.0,656.0,956.0,Y,2084,2,1,Gd,0,RFn,2.0,Y,0,45,233000,12.358798024384122
70.0,7,2004,2004,122.0,0.0,831.0,Y,1659,2,1,Gd,0,RFn,2.0,Y,144,68,181000,12.10625783509458
,7,1994,2002,0.0,695.0,948.0,Y,2110,2,1,Gd,2,RFn,2.0,Y,0,130,205000,12.230770136157428
50.0,6,1980,1980,0.0,543.0,923.0,Y,923,2,0,TA,1,RFn,1.0,Y,80,0,143000,11.870606902224587
70.0,6,1992,1992,0.0,0.0,1055.0,Y,1845,2,1,Gd,1,RFn,2.0,Y,635,104,189000,12.149507585033072
55.0,6,1979,1979,0.0,0.0,918.0,Y,918,2,0,TA,1,Unf,1.0,Y,28,0,99500,11.507922973347437
50.0,6,1984,1984,0.0,623.0,744.0,Y,752,1,0,TA,0,Unf,1.0,Y,353,0,125000,11.736077016252437
,7,1993,2003,0.0,402.0,996.0,Y,1744,2,1,Gd,0,RFn,2.0,Y,370,70,194500,12.178192583415596
81.0,6,1984,1985,0.0,338.0,1040.0,Y,1097,2,0,TA,0,Unf,2.0,Y,0,0,152000,11.931642378754141
70.0,6,1980,1981,130.0,0.0,650.0,Y,1564,2,1,TA,1,Unf,2.0,Y,0,50,171000,12.049424683420915
70.0,5,1920,1950,0.0,0.0,816.0,N,1012,1,0,TA,0,Unf,1.0,Y,121,0,67500,11.119897691565697
68.0,6,1978,1978,0.0,0.0,0.0,Y,1902,2,0,TA,0,Unf,2.0,Y,0,0,112000,11.626263078808801
88.0,5,1961,1995,0.0,899.0,1109.0,Y,1155,1,0,Gd,0,Unf,2.0,Y,192,0,148000,11.904974309480181
65.0,5,1965,2009,0.0,553.0,894.0,Y,894,1,0,TA,1,Unf,1.0,Y,416,144,138500,11.83863282480007
,5,1967,1967,31.0,450.0,882.0,Y,900,1,0,TA,0,Unf,1.0,Y,0,0,122000,11.711784520403112
75.0,5,1963,1963,0.0,824.0,1040.0,Y,1040,1,1,TA,0,Fin,1.0,Y,0,0,133000,11.798111925972618
,5,1962,2010,0.0,659.0,1040.0,Y,1040,1,1,TA,0,Unf,1.0,Y,0,104,127000,11.751950239425476
39.0,6,1974,2002,250.0,126.0,1208.0,Y,1494,2,0,TA,2,Fin,2.0,Y,296,0,169000,12.037659911047468
107.0,7,1992,1992,0.0,674.0,750.0,Y,1923,2,1,Gd,1,RFn,2.0,Y,240,39,190000,12.154784614286667
85.0,8,1993,1993,504.0,250.0,1231.0,Y,2349,2,1,Gd,1,RFn,3.0,Y,32,130,362500,12.80078251189375
88.0,8,1992,1993,180.0,1129.0,1390.0,Y,2225,2,1,Gd,1,RFn,3.0,Y,198,30,285000,12.560247968016562
25.0,7,2004,2005,0.0,1298.0,1488.0,Y,1488,2,0,Gd,1,Fin,2.0,Y,168,50,260000,12.468440756144114
39.0,7,2004,2004,0.0,0.0,840.0,Y,1680,2,1,Gd,0,RFn,2.0,Y,0,111,190000,12.154784614286667
30.0,7,2004,2004,120.0,280.0,600.0,Y,1200,2,1,Gd,0,RFn,2.0,Y,0,172,155000,11.951186847493476
30.0,7,2004,2005,0.0,0.0,600.0,Y,1200,2,1,Gd,0,RFn,2.0,Y,0,172,151000,11.92504173829169
24.0,7,2004,2005,0.0,368.0,600.0,Y,1200,2,1,Gd,0,RFn,2.0,Y,0,172,149500,11.915058360753719
24.0,6,2005,2005,216.0,376.0,600.0,Y,1236,2,1,Gd,0,RFn,2.0,Y,0,166,152000,11.931642378754141
,7,2009,2009,432.0,578.0,1470.0,Y,1478,2,1,Gd,1,Fin,2.0,Y,0,144,222000,12.310437165348775
,6,2000,2000,216.0,378.0,756.0,Y,1573,2,1,Gd,0,Unf,2.0,Y,0,32,177500,12.086731521684555
,6,2000,2000,1159.0,466.0,756.0,Y,1512,2,1,Gd,0,Unf,2.0,Y,0,32,177000,12.083910661257521
24.0,7,1999,1999,0.0,604.0,696.0,Y,1416,2,1,Gd,0,Unf,2.0,Y,0,44,155000,11.951186847493476
,7,2003,2003,0.0,244.0,530.0,Y,1080,2,1,Gd,0,RFn,2.0,Y,0,50,147110,11.898942682855576
57.0,8,2010,2010,0.0,1032.0,1642.0,Y,1418,1,1,Gd,1,RFn,3.0,Y,160,192,267916,12.498432510033044
68.0,8,2000,2000,0.0,484.0,975.0,Y,1848,2,1,Gd,1,RFn,2.0,Y,280,184,254000,12.445093483000798
30.0,8,1980,1980,0.0,728.0,728.0,Y,788,1,0,Gd,1,Fin,2.0,Y,133,42,155000,11.951186847493476
40.0,8,1978,1978,0.0,1052.0,1226.0,Y,1226,1,0,Gd,1,Fin,2.0,Y,223,78,206000,12.235636302128867
,6,1976,2005,289.0,533.0,725.0,Y,1479,2,1,Gd,0,RFn,2.0,Y,0,44,130500,11.779136168550774
80.0,7,2002,2002,0.0,833.0,1492.0,Y,1492,2,0,Gd,1,RFn,2.0,Y,277,137,230000,12.345838935721968
,6,1967,1967,120.0,506.0,1829.0,Y,1829,2,0,TA,0,RFn,2.0,Y,0,76,218500,12.294545870166347
80.0,6,1993,1993,0.0,1137.0,1280.0,Y,2495,2,1,Gd,1,Unf,2.0,Y,224,32,243500,12.40287632827253
,6,1977,2001,28.0,1200.0,1610.0,Y,1610,2,0,Gd,2,RFn,2.0,Y,168,68,205000,12.230770136157428
,6,1978,1978,0.0,687.0,1224.0,Y,1891,3,0,TA,1,RFn,2.0,Y,0,69,212500,12.26670197321789
80.0,7,1988,1988,42.0,394.0,980.0,Y,1714,2,1,TA,1,Unf,2.0,Y,228,66,196500,12.188422799337028
78.0,6,1972,2006,0.0,982.0,1161.0,Y,1381,1,1,Gd,1,RFn,2.0,Y,0,0,197500,12.193498926601634
80.0,6,1971,1971,0.0,329.0,715.0,Y,1645,1,2,TA,0,RFn,2.0,Y,0,78,171000,12.049424683420915
80.0,5,1966,1966,172.0,698.0,1232.0,Y,1232,1,1,TA,0,RFn,2.0,Y,0,224,142250,11.865348381840844
,6,1963,1963,451.0,569.0,1328.0,Y,1328,1,1,TA,2,Unf,2.0,Y,0,26,143000,11.870606902224587
77.0,4,1959,1959,0.0,569.0,950.0,Y,1225,1,1,TA,0,,0.0,Y,352,0,128950,11.767187766223199
90.0,5,1966,1966,0.0,1059.0,1209.0,Y,1209,1,0,TA,0,RFn,2.0,Y,0,0,159000,11.976665770490767
88.0,5,1967,1967,268.0,1010.0,1510.0,Y,1510,2,0,Gd,0,RFn,2.0,Y,0,40,178900,12.094587859196112
,6,1964,1964,0.0,0.0,533.0,Y,1775,2,0,TA,0,Unf,2.0,Y,0,172,136300,11.822620954414864
,5,1964,1964,86.0,1014.0,1152.0,Y,1152,1,0,TA,1,RFn,2.0,Y,227,0,180500,12.103491596905931
80.0,6,1963,1963,156.0,763.0,936.0,Y,1054,1,0,Gd,0,RFn,2.0,Y,120,0,137500,11.83138646878959
98.0,5,1962,2001,144.0,1500.0,1728.0,Y,1728,2,0,TA,0,,0.0,Y,0,0,84900,11.349241150793087
68.0,5,1950,1996,0.0,49.0,1078.0,Y,1078,1,0,Gd,0,Unf,1.0,Y,366,0,142125,11.864469267087891
68.0,5,1952,2002,265.0,670.0,1140.0,Y,2461,2,0,TA,2,Unf,2.0,Y,0,0,197600,12.194005125011843
120.0,6,1949,1950,340.0,300.0,782.0,Y,1556,2,0,TA,1,Unf,2.0,Y,0,0,172500,12.058158312538197
50.0,5,1958,2008,0.0,696.0,858.0,Y,858,1,0,TA,0,,0.0,Y,117,0,116500,11.665655135642039
55.0,3,1940,1966,0.0,0.0,728.0,Y,1306,1,0,Fa,0,,0.0,Y,263,0,76500,11.245059091624615
80.0,5,1954,1954,110.0,354.0,1056.0,Y,1063,1,0,TA,0,RFn,1.0,Y,0,0,128000,11.759793355371237
80.0,6,1955,1972,164.0,674.0,1156.0,Y,1520,1,0,TA,2,RFn,1.0,Y,0,0,153000,11.938199736300925
78.0,5,1954,1954,200.0,540.0,1268.0,Y,1268,1,0,TA,1,Fin,1.0,Y,0,98,132000,11.790564777297387
75.0,6,1966,2008,216.0,944.0,1080.0,Y,1128,1,0,Gd,1,Unf,1.0,Y,238,0,178000,12.08954444723597
80.0,5,1960,1960,361.0,443.0,1105.0,Y,2274,2,0,TA,0,Unf,2.0,Y,0,0,154300,11.946660519211651
,7,1970,1989,287.0,912.0,1947.0,Y,2207,2,0,TA,1,RFn,2.0,Y,301,0,180000,12.100717685412471
137.0,6,1966,2002,0.0,247.0,1517.0,Y,1888,2,1,Gd,1,Fin,2.0,Y,0,0,190000,12.154784614286667
70.0,5,1958,1958,0.0,0.0,1604.0,Y,1604,2,0,TA,0,Unf,2.0,Y,42,0,135000,11.813037464800539
70.0,7,2003,2009,506.0,1188.0,1480.0,Y,1480,2,0,Gd,0,RFn,2.0,Y,252,73,214000,12.273735966890268
,5,1959,1959,150.0,856.0,1143.0,Y,1143,1,0,TA,0,RFn,1.0,Y,0,0,136000,11.820417517632333
70.0,5,1959,1959,0.0,1018.0,1398.0,Y,1700,1,1,Gd,1,RFn,2.0,Y,0,38,165500,12.016732516077072
70.0,5,1957,1957,0.0,922.0,1314.0,Y,1314,1,0,TA,0,RFn,1.0,Y,250,0,145000,11.884495917930655
73.0,6,1959,1959,220.0,0.0,1194.0,Y,1194,1,0,TA,0,RFn,1.0,Y,0,0,148000,11.904974309480181
,5,1959,1959,180.0,1000.0,1188.0,Y,1188,1,0,TA,0,RFn,2.0,Y,0,0,142000,11.863589378812122
73.0,5,1960,1960,324.0,697.0,1268.0,Y,1264,1,0,TA,2,Unf,2.0,Y,0,0,167500,12.02874460037869
87.0,5,1959,1959,91.0,936.0,1206.0,Y,1206,1,0,TA,0,RFn,1.0,Y,0,21,108538,11.594864834381662
80.0,6,1959,1959,432.0,734.0,1244.0,Y,1580,1,1,TA,2,Unf,2.0,Y,0,28,159500,11.979805470779858
60.0,4,1956,1956,0.0,0.0,832.0,Y,1337,1,0,TA,0,Unf,1.0,Y,0,0,108000,11.58989576532275
60.0,5,1952,1952,0.0,339.0,864.0,Y,1064,1,0,Fa,0,Unf,1.0,Y,0,0,135000,11.813037464800539
119.0,5,1955,1955,0.0,648.0,972.0,Y,972,1,0,TA,0,Unf,1.0,Y,0,0,122500,11.715874472198905
70.0,5,1958,1958,0.0,532.0,988.0,Y,988,1,0,TA,0,Unf,1.0,Y,0,0,119000,11.686887175419702
68.0,5,1953,2007,0.0,731.0,1057.0,Y,1057,1,0,Gd,0,Unf,1.0,Y,0,52,109000,11.599112335481124
65.0,4,1920,1994,0.0,0.0,576.0,Y,985,1,0,TA,0,Unf,2.0,N,0,0,105000,11.561725152903833
60.0,5,1955,2007,0.0,0.0,0.0,Y,827,1,0,TA,1,Unf,1.0,Y,0,0,107500,11.58525542883217
85.0,5,1954,2003,104.0,320.0,1086.0,Y,1086,1,0,TA,0,Unf,2.0,Y,0,0,144900,11.88380602959621
74.0,5,1956,2000,0.0,248.0,936.0,Y,936,1,0,TA,0,Fin,1.0,Y,0,0,129000,11.767575435251748
78.0,6,1948,1950,0.0,0.0,912.0,Y,1458,1,0,TA,1,Unf,1.0,Y,192,0,97500,11.487617913343598
64.0,6,1980,1980,0.0,1056.0,1056.0,Y,1056,0,0,TA,0,Unf,2.0,Y,264,56,144000,11.87757552297847
,5,1959,2006,0.0,72.0,1063.0,Y,1287,1,0,Gd,1,Fin,2.0,Y,364,17,162000,11.995357787034976
96.0,7,1967,2007,300.0,0.0,710.0,Y,2978,2,1,Gd,1,Fin,2.0,Y,240,0,242000,12.396697137361691
60.0,6,1948,2004,0.0,481.0,816.0,Y,1224,1,0,TA,0,Unf,1.0,Y,414,0,132000,11.790564777297387
75.0,5,1959,1994,0.0,340.0,1246.0,Y,1246,1,1,Gd,0,RFn,1.0,Y,218,0,154000,11.944714374881176
71.0,5,1952,1952,0.0,507.0,910.0,Y,1385,2,0,TA,0,Unf,2.0,Y,0,0,166000,12.019749091416921
60.0,5,1951,2000,0.0,234.0,900.0,Y,900,1,0,Gd,0,Unf,2.0,Y,222,32,134800,11.811554895830454
87.0,6,1962,1962,261.0,0.0,1116.0,Y,1116,1,1,TA,0,Unf,2.0,Y,0,0,160000,11.982935344196433
81.0,5,1960,1960,0.0,588.0,1175.0,Y,1175,1,1,TA,0,RFn,2.0,Y,0,0,148000,11.904974309480181
80.0,6,1963,1984,218.0,717.0,1395.0,Y,1395,1,0,TA,1,RFn,2.0,Y,657,0,192000,12.165255859329688
70.0,6,1966,1966,351.0,0.0,756.0,Y,1839,1,1,TA,1,Unf,2.0,Y,0,124,155000,11.951186847493476
60.0,4,1900,1954,771.0,48.0,709.0,Y,1844,1,0,TA,2,Unf,1.0,Y,84,0,80400,11.294781892900653
55.0,4,1910,2004,0.0,0.0,576.0,Y,1140,1,0,TA,0,,0.0,N,0,160,96500,11.477308649967686
56.0,5,1920,1950,0.0,579.0,936.0,Y,936,1,0,TA,1,,0.0,P,51,0,109500,11.603688960617083
56.0,5,1927,1950,0.0,0.0,1008.0,Y,1028,1,0,TA,1,Unf,2.0,Y,0,0,115000,11.652696102959753
69.0,5,1957,1957,0.0,274.0,1347.0,Y,1347,1,0,Gd,0,Unf,2.0,Y,0,0,143000,11.870606902224587
60.0,3,1915,1950,0.0,0.0,840.0,N,1605,2,0,TA,0,Unf,1.0,Y,0,0,107400,11.58432477200052
47.0,4,1945,1950,0.0,0.0,747.0,Y,747,1,0,TA,0,Unf,1.0,Y,0,0,80000,11.289794413577894
60.0,5,1940,1992,294.0,510.0,788.0,Y,804,1,0,Gd,2,Unf,1.0,Y,0,0,119000,11.686887175419702
50.0,5,1929,2001,0.0,234.0,926.0,Y,1316,1,0,TA,0,Unf,2.0,Y,0,0,130000,11.775297421715827
50.0,6,1938,2000,0.0,0.0,827.0,Y,1251,1,0,Fa,0,Unf,1.0,N,0,0,119000,11.686887175419702
69.0,5,1948,2009,0.0,780.0,1027.0,Y,1633,1,0,Gd,1,Unf,1.0,Y,0,100,129000,11.767575435251748
,5,1920,1962,0.0,176.0,1008.0,Y,1245,1,0,TA,0,Unf,1.0,Y,0,0,100000,11.51293546492023
68.0,2,1923,1970,0.0,0.0,678.0,N,832,1,0,TA,1,Unf,2.0,N,0,0,12789,9.456418894572888
60.0,6,1928,2003,0.0,0.0,624.0,Y,720,1,0,TA,0,Unf,2.0,Y,106,0,105900,11.570259974415547
60.0,8,1900,2003,0.0,0.0,930.0,N,1566,2,0,Gd,0,Unf,1.0,Y,54,228,150000,11.918397239722838
60.0,5,1915,1950,0.0,686.0,686.0,Y,1652,2,0,TA,0,Unf,1.0,Y,0,0,139000,11.842236406331555
50.0,8,1890,2002,0.0,0.0,346.0,Y,2268,3,0,Gd,0,Unf,2.0,N,0,108,240000,12.388398368982115
100.0,5,1910,1950,0.0,0.0,840.0,N,2256,2,0,Fa,0,,0.0,N,0,18,76500,11.245059091624615
90.0,6,1957,1996,0.0,600.0,912.0,Y,1236,1,0,TA,0,Unf,2.0,Y,0,158,149700,11.916395250412128
60.0,4,1910,1950,0.0,0.0,622.0,Y,1363,1,0,TA,0,Unf,2.0,Y,0,0,125500,11.74006900564972
60.0,4,1885,1950,0.0,0.0,777.0,Y,2290,2,0,TA,0,Unf,2.0,N,0,0,122500,11.715874472198905
60.0,6,1922,1994,0.0,283.0,738.0,Y,1470,1,1,TA,0,Unf,2.0,Y,0,0,140750,11.854747650772435
53.0,5,1950,1997,0.0,788.0,988.0,Y,1612,1,1,TA,0,Unf,1.0,Y,0,0,128500,11.763691965388299
,7,1922,2005,0.0,474.0,1108.0,N,2068,1,1,Gd,1,Unf,1.0,Y,0,0,209500,12.252483791602627
50.0,4,1925,1950,0.0,188.0,765.0,N,765,1,0,Gd,0,Unf,1.0,P,135,0,87000,11.373674891823535
50.0,6,1939,1950,0.0,452.0,608.0,Y,1132,1,0,TA,0,Unf,1.0,Y,0,0,134000,11.80560254159177
50.0,6,1940,1950,0.0,264.0,572.0,Y,1196,1,1,TA,2,Unf,2.0,Y,0,0,128000,11.759793355371237
53.0,5,1942,1950,300.0,360.0,835.0,Y,1453,1,1,Gd,2,Unf,1.0,Y,0,0,132000,11.790564777297387
50.0,6,1948,1950,0.0,300.0,780.0,Y,1416,1,1,TA,0,Unf,1.0,P,221,0,139900,11.848690308590857
52.0,5,1936,1980,0.0,276.0,528.0,Y,1040,1,0,TA,0,Fin,2.0,P,306,0,123900,11.727238138609684
52.0,5,1930,1950,0.0,448.0,928.0,Y,1536,2,0,TA,1,Unf,2.0,Y,0,10,138400,11.837910547573129
51.0,6,1923,1950,0.0,960.0,1124.0,Y,1068,1,0,TA,1,Unf,1.0,Y,0,0,109500,11.603688960617083
50.0,7,1921,1950,0.0,0.0,576.0,Y,1710,2,0,TA,0,Unf,2.0,Y,12,11,140000,11.849404844423074
57.0,4,1915,1950,0.0,0.0,888.0,Y,1962,1,1,TA,1,Unf,2.0,Y,160,0,149500,11.915058360753719
60.0,6,1912,2009,0.0,0.0,780.0,Y,1560,1,1,Gd,0,,0.0,N,344,0,159900,11.982310152711182
52.0,6,1920,1993,0.0,0.0,662.0,Y,1324,1,0,TA,0,Unf,1.0,Y,0,0,122000,11.711784520403112
110.0,5,1963,1963,0.0,104.0,816.0,N,816,1,0,TA,0,Unf,2.0,Y,106,0,110000,11.608244735642321
70.0,4,1930,1950,0.0,0.0,0.0,N,1092,2,0,Fa,0,,0.0,N,0,0,55000,10.915106645867503
76.0,5,1900,1996,0.0,0.0,360.0,Y,1812,2,0,Gd,1,Unf,2.0,N,344,0,140000,11.849404844423074
,7,1940,1950,0.0,0.0,1032.0,Y,2403,2,0,TA,2,Unf,1.0,Y,56,0,244400,12.406565597924235
